"","Loan_ID","loan_status","Principal","terms","effective_date","due_date","paid_off_time","past_due_days","age","education","Gender"
"284","xqd20160284","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/12/2016 6:25",NA,30,"High School or Below","male"
"285","xqd20160285","PAIDOFF",1000,15,"9/14/2016","9/28/2016","9/27/2016 22:50",NA,24,"Bechalor","male"
"286","xqd20160286","PAIDOFF",1000,30,"9/14/2016","11/12/2016","11/12/2016 9:00",NA,34,"Bechalor","male"
"287","xqd20160287","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/12/2016 12:30",NA,29,"college","male"
"288","xqd20160288","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/12/2016 3:49",NA,38,"High School or Below","female"
"289","xqd20160289","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/13/2016 13:00",NA,34,"Bechalor","male"
"290","xqd20160290","PAIDOFF",800,15,"9/14/2016","9/28/2016","9/27/2016 7:48",NA,28,"High School or Below","male"
"292","xqd20160292","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/11/2016 16:33",NA,41,"High School or Below","male"
"293","xqd20160293","PAIDOFF",1000,30,"9/14/2016","10/13/2016","9/18/2016 16:56",NA,29,"college","male"
"294","xqd20160294","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/13/2016 9:00",NA,37,"High School or Below","male"
"295","xqd20160295","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/13/2016 13:00",NA,36,"Bechalor","male"
"296","xqd20160296","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/13/2016 13:00",NA,30,"college","female"
"297","xqd20160297","PAIDOFF",800,15,"9/14/2016","9/28/2016","9/21/2016 4:42",NA,27,"college","male"
"298","xqd20160298","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/13/2016 9:00",NA,29,"High School or Below","male"
"299","xqd20160299","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/13/2016 9:00",NA,40,"High School or Below","male"
"300","xqd20160300","PAIDOFF",1000,30,"9/14/2016","10/13/2016","10/13/2016 11:00",NA,28,"college","male"
"301","xqd20160301","COLLECTION",1000,15,"9/9/2016","9/23/2016","",76,29,"college","male"
"302","xqd20160302","COLLECTION",1000,30,"9/9/2016","10/8/2016","",61,37,"High School or Below","male"
"303","xqd20160303","COLLECTION",1000,30,"9/9/2016","10/8/2016","",61,33,"High School or Below","male"
"304","xqd20160304","COLLECTION",800,15,"9/9/2016","9/23/2016","",76,27,"college","male"
"305","xqd20160305","COLLECTION",800,15,"9/9/2016","9/23/2016","",76,24,"Bechalor","male"
"306","xqd20160306","COLLECTION",1000,15,"9/10/2016","9/24/2016","",75,31,"High School or Below","female"
"307","xqd20160307","COLLECTION",800,15,"9/10/2016","10/9/2016","",60,28,"college","male"
"308","xqd20160308","COLLECTION",1000,30,"9/10/2016","10/9/2016","",60,40,"High School or Below","male"
"309","xqd20160309","COLLECTION",1000,30,"9/10/2016","10/9/2016","",60,33,"college","male"
"310","xqd20160310","COLLECTION",800,15,"9/10/2016","9/24/2016","",75,41,"college","male"
"312","xqd20160312","COLLECTION",800,15,"9/10/2016","9/24/2016","",75,26,"High School or Below","female"
"314","xqd20160314","COLLECTION",1000,30,"9/10/2016","10/9/2016","",60,20,"High School or Below","male"
"316","xqd20160316","COLLECTION",1000,15,"9/10/2016","10/9/2016","",60,26,"High School or Below","male"
"317","xqd20160317","COLLECTION",1000,30,"9/10/2016","10/9/2016","",60,30,"High School or Below","male"
"319","xqd20160319","COLLECTION",1000,30,"9/10/2016","10/9/2016","",60,22,"Bechalor","male"
"320","xqd20160320","COLLECTION",1000,15,"9/10/2016","9/24/2016","",75,24,"Bechalor","male"
"321","xqd20160321","COLLECTION",1000,30,"9/10/2016","10/9/2016","",60,25,"college","male"
"322","xqd20160322","COLLECTION",1000,30,"9/10/2016","10/9/2016","",60,28,"High School or Below","male"
"323","xqd20160323","COLLECTION",1000,30,"9/10/2016","10/9/2016","",60,37,"college","male"
"325","xqd20160325","COLLECTION",1000,15,"9/10/2016","9/24/2016","",75,34,"college","male"
"326","xqd20160326","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,28,"Bechalor","male"
"327","xqd20160327","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,35,"Bechalor","male"
"328","xqd20160328","COLLECTION",1000,30,"9/11/2016","11/9/2016","",29,27,"college","male"
"329","xqd20160329","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,24,"High School or Below","female"
"331","xqd20160331","COLLECTION",1000,15,"9/11/2016","10/25/2016","",44,31,"college","male"
"332","xqd20160332","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,27,"college","male"
"335","xqd20160335","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,38,"college","female"
"336","xqd20160336","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,34,"High School or Below","male"
"337","xqd20160337","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,31,"college","male"
"338","xqd20160338","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,23,"High School or Below","male"
"340","xqd20160340","COLLECTION",1000,15,"9/11/2016","9/25/2016","",74,39,"High School or Below","male"
"341","xqd20160341","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,30,"High School or Below","female"
"342","xqd20160342","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,25,"college","male"
"343","xqd20160343","COLLECTION",1000,15,"9/11/2016","9/25/2016","",74,50,"Master or Above","male"
"345","xqd20160345","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,38,"Bechalor","male"
"346","xqd20160346","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,27,"High School or Below","male"
"347","xqd20160347","COLLECTION",1000,30,"9/11/2016","11/9/2016","",29,31,"High School or Below","male"
"348","xqd20160348","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,40,"college","male"
"349","xqd20160349","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,32,"High School or Below","male"
"350","xqd20160350","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,29,"college","male"
"351","xqd20160351","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,26,"High School or Below","male"
"352","xqd20160352","COLLECTION",1000,15,"9/11/2016","9/25/2016","",74,25,"college","male"
"354","xqd20160354","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,41,"High School or Below","male"
"356","xqd20160356","COLLECTION",1000,15,"9/11/2016","10/10/2016","",59,34,"college","male"
"357","xqd20160357","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,45,"High School or Below","male"
"358","xqd20160358","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,26,"Bechalor","male"
"360","xqd20160360","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,28,"High School or Below","male"
"362","xqd20160362","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,29,"High School or Below","male"
"363","xqd20160363","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,26,"High School or Below","male"
"364","xqd20160364","COLLECTION",1000,15,"9/11/2016","9/25/2016","",74,26,"college","male"
"365","xqd20160365","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,22,"college","male"
"366","xqd20160366","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,27,"High School or Below","female"
"367","xqd20160367","COLLECTION",800,30,"9/11/2016","10/10/2016","",59,33,"High School or Below","male"
"370","xqd20160370","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,37,"High School or Below","male"
"371","xqd20160371","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,36,"High School or Below","male"
"372","xqd20160372","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,18,"college","male"
"373","xqd20160373","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,25,"High School or Below","male"
"375","xqd20182575","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,29,"college","male"
"376","xqd20160376","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,26,"High School or Below","female"
"377","xqd20151038","COLLECTION",1000,15,"9/11/2016","9/25/2016","",74,30,"college","male"
"378","xqd20160378","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,33,"college","male"
"379","xqd20197340","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,30,"college","male"
"380","xqd20160380","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,32,"college","male"
"381","xqd20160381","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,25,"High School or Below","male"
"383","xqd20175721","COLLECTION",1000,15,"9/11/2016","9/25/2016","",74,30,"Bechalor","male"
"384","xqd20160384","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,26,"High School or Below","male"
"385","xqd20160385","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,29,"High School or Below","male"
"386","xqd20160386","COLLECTION",1000,30,"9/11/2016","11/9/2016","",29,26,"High School or Below","male"
"388","xqd20160388","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,36,"High School or Below","male"
"389","xqd20160389","COLLECTION",1000,15,"9/11/2016","9/25/2016","",74,38,"Bechalor","male"
"390","xqd20160390","COLLECTION",1000,15,"9/11/2016","10/25/2016","",44,32,"High School or Below","male"
"391","xqd20160391","COLLECTION",1000,15,"9/11/2016","9/25/2016","",74,30,"college","male"
"392","xqd20125284","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,35,"High School or Below","male"
"393","xqd20160393","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,29,"college","female"
"394","xqd20160394","COLLECTION",1000,30,"9/11/2016","11/9/2016","",29,26,"college","male"
"395","xqd20160395","COLLECTION",800,15,"9/11/2016","9/25/2016","",74,32,"High School or Below","male"
"396","xqd20160396","COLLECTION",1000,30,"9/11/2016","10/10/2016","",59,25,"High School or Below","male"
"397","xqd20160397","COLLECTION",1000,30,"9/12/2016","10/11/2016","",58,33,"High School or Below","male"
"398","xqd20160398","COLLECTION",800,15,"9/12/2016","9/26/2016","",73,39,"college","male"
"399","xqd20160399","COLLECTION",1000,30,"9/12/2016","11/10/2016","",28,28,"college","male"
"402","xqd20160402","COLLECTION_PAIDOFF",1000,15,"9/9/2016","9/23/2016","9/27/2016 17:00",4,28,"college","male"
"403","xqd20320403","COLLECTION_PAIDOFF",1000,30,"9/9/2016","11/7/2016","11/20/2016 14:10",13,39,"college","male"
"404","xqd20160404","COLLECTION_PAIDOFF",1000,15,"9/9/2016","9/23/2016","9/28/2016 15:38",5,29,"Bechalor","male"
"405","xqd20190405","COLLECTION_PAIDOFF",800,15,"9/9/2016","9/23/2016","9/26/2016 17:22",3,33,"High School or Below","male"
"406","xqd20160406","COLLECTION_PAIDOFF",1000,30,"9/10/2016","10/9/2016","10/21/2016 14:00",12,27,"college","male"
"407","xqd20160407","COLLECTION_PAIDOFF",800,15,"9/10/2016","9/24/2016","9/26/2016 11:03",2,34,"college","male"
"408","xqd20160408","COLLECTION_PAIDOFF",1000,30,"9/10/2016","10/9/2016","11/5/2016 15:39",27,26,"High School or Below","male"
"409","xqd20110409","COLLECTION_PAIDOFF",1000,30,"9/10/2016","10/9/2016","11/22/2016 15:53",44,28,"High School or Below","male"
"410","xqd20160410","COLLECTION_PAIDOFF",1000,15,"9/10/2016","9/24/2016","9/29/2016 10:30",5,32,"Bechalor","male"
"411","xqd20160411","COLLECTION_PAIDOFF",800,15,"9/10/2016","10/9/2016","10/10/2016 15:18",1,27,"college","female"
"412","xqd20160412","COLLECTION_PAIDOFF",1000,30,"9/10/2016","10/9/2016","11/5/2016 10:49",27,21,"college","male"
"414","xqd20169083","COLLECTION_PAIDOFF",1000,15,"9/11/2016","9/25/2016","9/26/2016 11:35",1,38,"college","male"
"415","xqd20160415","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/12/2016 9:59",2,36,"High School or Below","female"
"416","xqd20160416","COLLECTION_PAIDOFF",800,15,"9/11/2016","9/25/2016","9/27/2016 17:14",2,33,"college","male"
"417","xqd20160417","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/11/2016 12:45",1,21,"college","female"
"419","xqd20160419","COLLECTION_PAIDOFF",800,15,"9/11/2016","9/25/2016","10/7/2016 13:21",12,29,"college","male"
"420","xqd20160420","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","11/4/2016 15:37",25,33,"High School or Below","male"
"421","xqd20160421","COLLECTION_PAIDOFF",1000,15,"9/11/2016","9/25/2016","9/28/2016 17:39",3,47,"High School or Below","female"
"422","xqd20160422","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/12/2016 9:52",2,33,"college","male"
"423","xqd20160423","COLLECTION_PAIDOFF",800,15,"9/11/2016","9/25/2016","9/29/2016 15:12",4,23,"High School or Below","male"
"425","xqd20880425","COLLECTION_PAIDOFF",1000,30,"9/11/2016","11/9/2016","11/10/2016 22:58",1,27,"High School or Below","male"
"426","xqd20160426","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","11/3/2016 15:23",24,32,"Bechalor","male"
"428","xqd20160428","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/11/2016 11:02",2,27,"college","female"
"429","xqd20160429","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/12/2016 13:17",2,35,"High School or Below","male"
"430","xqd20160430","COLLECTION_PAIDOFF",500,15,"9/11/2016","10/10/2016","10/11/2016 17:22",1,37,"Bechalor","male"
"431","xqd20160431","COLLECTION_PAIDOFF",800,15,"9/11/2016","9/25/2016","9/28/2016 14:02",3,28,"Bechalor","male"
"432","xqd20160432","COLLECTION_PAIDOFF",1000,15,"9/11/2016","9/25/2016","9/29/2016 13:42",4,33,"college","male"
"434","xqd20160434","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/12/2016 14:32",2,29,"college","male"
"435","xqd20160435","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/11/2016 11:33",1,34,"Bechalor","male"
"437","xqd20790437","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","11/15/2016 15:27",36,24,"High School or Below","male"
"438","xqd20160438","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/11/2016 16:13",1,34,"High School or Below","male"
"439","xqd20160439","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/17/2016 10:06",7,25,"college","female"
"440","xqd20160440","COLLECTION_PAIDOFF",1000,30,"9/11/2016","11/9/2016","11/14/2016 13:15",5,24,"college","male"
"441","xqd20160441","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/24/2016 16:20",14,30,"college","male"
"442","xqd20160442","COLLECTION_PAIDOFF",1000,15,"9/11/2016","9/25/2016","9/27/2016 16:35",2,28,"college","male"
"443","xqd20160443","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/11/2016 11:48",1,24,"High School or Below","male"
"445","xqd20160445","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/12/2016 16:22",2,24,"High School or Below","male"
"446","xqd20160446","COLLECTION_PAIDOFF",1000,15,"9/11/2016","9/25/2016","9/27/2016 17:24",2,29,"college","male"
"448","xqd20160448","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","11/2/2016 9:39",23,26,"college","male"
"450","xqd20160450","COLLECTION_PAIDOFF",1000,30,"9/11/2016","10/10/2016","10/11/2016 11:29",1,29,"college","male"
"453","xqd20390453","COLLECTION_PAIDOFF",1000,15,"9/11/2016","9/25/2016","9/28/2016 11:17",3,26,"High School or Below","male"
"454","xqd20160454","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/14/2016 11:04",3,26,"High School or Below","male"
"456","xqd20160456","COLLECTION_PAIDOFF",1000,15,"9/12/2016","9/26/2016","9/28/2016 9:42",2,37,"college","male"
"457","xqd20160457","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","11/18/2016 15:52",38,25,"college","male"
"458","xqd20160458","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/30/2016 14:19",19,24,"college","male"
"459","xqd20160459","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/13/2016 15:10",2,34,"college","male"
"460","xqd20160460","COLLECTION_PAIDOFF",800,15,"9/12/2016","9/26/2016","9/28/2016 13:36",2,33,"college","male"
"461","xqd20490461","COLLECTION_PAIDOFF",800,15,"9/12/2016","9/26/2016","9/28/2016 15:34",2,38,"Bechalor","male"
"462","xqd20160462","COLLECTION_PAIDOFF",1000,30,"9/12/2016","11/10/2016","11/17/2016 11:55",7,38,"High School or Below","male"
"463","xqd20160463","COLLECTION_PAIDOFF",1000,30,"9/12/2016","11/10/2016","11/15/2016 18:51",5,26,"college","male"
"464","xqd20870464","COLLECTION_PAIDOFF",1000,15,"9/12/2016","9/26/2016","9/30/2016 10:23",4,37,"Bechalor","male"
"465","xqd20160465","COLLECTION_PAIDOFF",1000,30,"9/12/2016","11/10/2016","11/11/2016 17:17",1,42,"High School or Below","female"
"466","xqd20169466","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/12/2016 12:54",1,49,"High School or Below","female"
"467","xqd20160467","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/15/2016 9:48",4,26,"High School or Below","male"
"471","xqd20160471","COLLECTION_PAIDOFF",1000,15,"9/12/2016","9/26/2016","9/28/2016 15:02",2,32,"High School or Below","male"
"472","xqd20160472","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","11/4/2016 14:46",24,27,"Bechalor","male"
"474","xqd20160474","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/14/2016 19:02",3,30,"High School or Below","male"
"475","xqd20160475","COLLECTION_PAIDOFF",800,15,"9/12/2016","9/26/2016","9/28/2016 11:34",2,26,"High School or Below","female"
"476","xqd20160476","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","11/9/2016 18:12",29,35,"college","female"
"477","xqd20160477","COLLECTION_PAIDOFF",800,15,"9/12/2016","10/26/2016","10/31/2016 13:07",5,46,"college","female"
"478","xqd20160478","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/20/2016 17:38",9,27,"college","male"
"479","xqd20160479","COLLECTION_PAIDOFF",1000,15,"9/12/2016","10/11/2016","11/7/2016 8:55",27,22,"High School or Below","male"
"480","xqd20160480","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/12/2016 18:26",1,27,"Bechalor","male"
"482","xqd20160482","COLLECTION_PAIDOFF",1000,15,"9/12/2016","9/26/2016","9/29/2016 15:07",3,27,"High School or Below","male"
"483","xqd20160483","COLLECTION_PAIDOFF",800,15,"9/12/2016","9/26/2016","9/27/2016 11:40",1,47,"college","male"
"484","xqd20160484","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/18/2016 19:08",7,30,"college","male"
"485","xqd20160485","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/15/2016 9:23",4,26,"college","male"
"486","xqd20160486","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/14/2016 10:07",3,38,"High School or Below","male"
"487","xqd20160487","COLLECTION_PAIDOFF",800,15,"9/12/2016","9/26/2016","11/21/2016 11:36",56,46,"High School or Below","male"
"488","xqd20160488","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/13/2016 12:02",2,35,"Bechalor","male"
"489","xqd20160489","COLLECTION_PAIDOFF",1000,15,"9/12/2016","9/26/2016","10/9/2016 19:30",13,45,"college","male"
"490","xqd20160490","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/12/2016 18:04",1,36,"college","male"
"491","xqd20160491","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/17/2016 10:53",6,38,"High School or Below","male"
"492","xqd20160492","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","11/9/2016 13:41",29,27,"college","male"
"493","xqd20160493","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/25/2016 17:44",14,27,"Bechalor","male"
"494","xqd20160494","COLLECTION_PAIDOFF",1000,15,"9/12/2016","9/26/2016","9/29/2016 12:45",3,29,"college","male"
"496","xqd20160496","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/14/2016 19:08",3,28,"High School or Below","male"
"497","xqd20160497","COLLECTION_PAIDOFF",1000,15,"9/12/2016","9/26/2016","10/10/2016 20:02",14,26,"High School or Below","male"
"498","xqd20160498","COLLECTION_PAIDOFF",800,15,"9/12/2016","9/26/2016","9/29/2016 11:49",3,30,"college","male"
"500","xqd20160500","COLLECTION_PAIDOFF",1000,30,"9/12/2016","10/11/2016","10/19/2016 11:58",8,28,"High School or Below","male"
